Building classifier model for 3 classes...
Start at 20-Jun-2017 14:57:00
Initialization
Particle     nHiddenNode           pBest            Time        TrainAcc         TestAcc     SelectedFeatures
       1              97    5.789034e+01    1.489449e-02    6.642857e+01    6.089385e+01     3 8 15 
       2              32    5.948252e+01    8.915670e-03    6.238095e+01    6.256983e+01     5 12 15 
       3             320    5.576449e+01    3.130452e-02    8.309524e+01    5.865922e+01     1 4 7 15 
       4             128    5.789034e+01    1.203477e-02    6.642857e+01    6.089385e+01     3 6 12 
       5             128    5.948546e+01    2.590822e-02    6.238095e+01    6.256983e+01     6 7 
       6              74    5.948252e+01    9.212683e-03    6.238095e+01    6.256983e+01     7 14 17 
       7             260    5.948546e+01    3.623680e-02    6.238095e+01    6.256983e+01     16 17 
       8              64    5.789328e+01    6.578133e-03    7.738095e+01    6.089385e+01     1 14 
       9             417    5.948546e+01    8.268742e-02    6.238095e+01    6.256983e+01     4 11 
      10             144    5.948546e+01    1.564340e-02    6.238095e+01    6.256983e+01     5 11 
      11              32    5.948840e+01    6.409878e-03    6.238095e+01    6.256983e+01     5 
      12             256    5.629522e+01    3.020822e-02    6.642857e+01    5.921788e+01     4 8 9 12 
      13              72    5.948546e+01    7.039669e-03    6.238095e+01    6.256983e+01     7 8 
      14              32    5.629816e+01    3.879826e-03    7.190476e+01    5.921788e+01     2 12 16 
      15              26    5.948546e+01    3.246303e-03    6.238095e+01    6.256983e+01     5 11 
      16             256    5.948546e+01    7.227394e-02    6.238095e+01    6.256983e+01     6 11 
      17              32    4.992356e+01    4.573064e-03    6.833333e+01    5.251397e+01     4 5 7 13 17 
      18              64    5.947958e+01    1.467896e-02    6.238095e+01    6.256983e+01     5 8 16 17 
      19              22    5.948546e+01    3.897554e-03    6.238095e+01    6.256983e+01     5 17 
      20             257    5.948252e+01    4.638500e-02    6.238095e+01    6.256983e+01     5 6 9 
gBest = 5.948840e+01

Iteration 1 of 100
Particle     nHiddenNode           pBest            Time        TrainAcc         TestAcc     SelectedFeatures
       1             204    5.947663e+01    2.514096e-02    6.261905e+01    6.256983e+01     5 7 10 12 13 
       2             224    5.948252e+01    2.293312e-02    6.238095e+01    6.256983e+01     5 16 17 
       3             105    5.576449e+01    9.011461e-03    6.928571e+01    5.363128e+01     4 6 9 10 11 12 
       4              11    5.947369e+01    2.445457e-03    6.261905e+01    6.256983e+01     5 7 9 11 16 17 
       5              43    5.948546e+01    4.164088e-03    6.285714e+01    6.145251e+01     6 7 8 9 10 12 
       6             420    5.948252e+01    4.285257e-02    6.285714e+01    6.145251e+01     6 7 8 10 11 12 
       7             206    5.948546e+01    2.447043e-02    6.238095e+01    6.256983e+01     6 7 8 10 
       8             292    5.789328e+01    2.829614e-02    6.642857e+01    5.921788e+01     4 7 8 10 
       9              59    5.948546e+01    5.098356e-03    6.261905e+01    6.256983e+01     5 9 10 15 16 
      10              42    5.948546e+01    4.420981e-03    6.238095e+01    6.256983e+01     5 15 16 
      11              32    5.948840e+01    6.114731e-03    6.238095e+01    6.256983e+01     5 
      12              43    5.947075e+01    5.632046e-03    6.261905e+01    6.256983e+01     5 9 10 11 14 16 17 
      13              41    5.948546e+01    5.653506e-03    6.238095e+01    6.256983e+01     6 7 8 9 13 
      14              69    6.053515e+01    6.766293e-03    6.547619e+01    6.368715e+01     5 6 8 10 16 17 
      15              31    5.948546e+01    3.202762e-03    6.238095e+01    6.256983e+01     5 15 16 
      16              57    5.948546e+01    5.660970e-03    6.952381e+01    5.474860e+01     6 7 8 9 11 15 16 
      17             317    5.947369e+01    3.789199e-02    6.261905e+01    6.256983e+01     5 8 9 11 12 17 
      18             178    5.948252e+01    1.691200e-02    6.238095e+01    6.256983e+01     5 12 13 
      19              79    5.948840e+01    9.326512e-03    6.238095e+01    6.256983e+01     5 
      20              48    5.948252e+01    4.184925e-03    6.261905e+01    6.256983e+01     5 10 11 13 14 
gBest = 6.053515e+01

Iteration 2 of 100
Particle     nHiddenNode           pBest            Time        TrainAcc         TestAcc     SelectedFeatures
       1             336    5.948252e+01    3.220583e-02    6.238095e+01    6.256983e+01     12 15 16 
       2             420    5.948252e+01    4.320152e-02    7.809524e+01    4.581006e+01     5 6 8 9 11 12 14 15 16 
       3             170    5.576449e+01    1.721897e-02    8.380952e+01    4.357542e+01     4 5 7 9 10 13 14 15 16 17 
       4             277    5.947663e+01    2.881615e-02    6.238095e+01    6.256983e+01     8 9 10 15 16 
       5             166    5.948546e+01    1.330026e-02    7.238095e+01    5.139665e+01     5 6 7 10 12 15 16 
       6             242    5.948252e+01    3.093847e-02    8.261905e+01    4.692737e+01     5 6 7 8 10 11 12 13 14 15 17 
       7             420    5.948546e+01    4.307525e-02    6.642857e+01    5.921788e+01     4 12 14 16 17 
       8             306    5.789328e+01    2.827282e-02    6.928571e+01    5.363128e+01     4 6 8 9 14 15 
       9              21    5.948546e+01    3.132785e-03              70    5.754190e+01     5 7 8 10 12 13 16 17 
      10             331    5.948546e+01    3.469669e-02    6.976190e+01    5.586592e+01     5 6 8 9 11 12 15 16 
      11             264    5.948840e+01    3.461583e-02    7.785714e+01    4.636872e+01     5 6 8 9 11 12 13 14 17 
      12              21    5.947369e+01    3.541450e-03    6.261905e+01    6.256983e+01     5 10 11 12 14 17 
      13             331    5.948546e+01    4.062419e-02    7.428571e+01    5.195531e+01     5 6 7 8 11 12 14 17 
      14             420    6.053515e+01    4.991743e-02    6.642857e+01    5.921788e+01     4 8 11 12 13 15 17 
      15             366    5.948546e+01    4.260003e-02              70    5.363128e+01     5 6 8 9 11 12 15 16 
      16             157    6.053515e+01    1.520799e-02    6.547619e+01    6.368715e+01     5 6 7 9 10 11 
      17             411    5.947369e+01    5.729267e-02    6.214286e+01    5.810056e+01     7 8 9 10 14 15 17 
      18              14    5.948252e+01    2.492108e-03    6.928571e+01    5.810056e+01     5 6 8 11 13 14 15 17 
      19             420    5.948840e+01    4.311972e-02    6.976190e+01    5.474860e+01     5 6 8 9 11 12 13 14 
      20             228    6.053515e+01    1.935062e-02    6.547619e+01    6.368715e+01     5 6 10 11 13 15 
gBest = 6.053515e+01

Iteration 3 of 100
Particle     nHiddenNode           pBest            Time        TrainAcc         TestAcc     SelectedFeatures
       1             247    5.948546e+01    3.539615e-02    6.238095e+01    6.256983e+01     5 15 
       2             420    5.948252e+01    6.104188e-02    6.238095e+01    6.256983e+01     5 7 9 17 
